act,scene,character,dialogue,line_number
Act I,Scene I,Titus Andronicus,"Upright he held it, lords, that held it last.",200
Act I,Scene I,Marcus Andronicus,"Titus, thou shalt obtain and ask the empery.",201
Act I,Scene I,Saturninus,"Proud and ambitious tribune, canst thou tell?",202
Act I,Scene I,Titus Andronicus,"Patience, Prince Saturninus.",203
Act I,Scene I,Saturninus,"Romans, do me right:",204
Act I,Scene I,Saturninus,"Patricians, draw your swords: and sheathe them not",205
Act I,Scene I,Saturninus,Till Saturninus be Rome's emperor.,206
Act I,Scene I,Saturninus,"Andronicus, would thou wert shipp'd to hell,",207
Act I,Scene I,Saturninus,Rather than rob me of the people's hearts!,208
Act I,Scene I,Lucius,"Proud Saturnine, interrupter of the good",209
Act I,Scene I,Lucius,That noble-minded Titus means to thee!,210
Act I,Scene I,Titus Andronicus,"Content thee, prince; I will restore to thee",211
Act I,Scene I,Titus Andronicus,"The people's hearts, and wean them from themselves.",212
Act I,Scene I,Bassianus,"Andronicus, I do not flatter thee,",213
Act I,Scene I,Bassianus,"But honour thee, and will do till I die:",214
Act I,Scene I,Bassianus,"My faction if thou strengthen with thy friends,",215
Act I,Scene I,Bassianus,I will most thankful be; and thanks to men,216
Act I,Scene I,Bassianus,Of noble minds is honourable meed.,217
Act I,Scene I,Titus Andronicus,"People of Rome, and people's tribunes here,",218
Act I,Scene I,Titus Andronicus,I ask your voices and your suffrages:,219
Act I,Scene I,Titus Andronicus,Will you bestow them friendly on Andronicus?,220
Act I,Scene I,Tribunes,"To gratify the good Andronicus,",221
Act I,Scene I,Tribunes,"And gratulate his safe return to Rome,",222
Act I,Scene I,Tribunes,The people will accept whom he admits.,223
Act I,Scene I,Titus Andronicus,"Tribunes, I thank you: and this suit I make,",224
Act I,Scene I,Titus Andronicus,"That you create your emperor's eldest son,",225
Act I,Scene I,Titus Andronicus,"Lord Saturnine; whose virtues will, I hope,",226
Act I,Scene I,Titus Andronicus,"Reflect on Rome as Titan's rays on earth,",227
Act I,Scene I,Titus Andronicus,And ripen justice in this commonweal:,228
Act I,Scene I,Titus Andronicus,"Then, if you will elect by my advice,",229
Act I,Scene I,Titus Andronicus,Crown him and say 'Long live our emperor!',230
Act I,Scene I,Marcus Andronicus,"With voices and applause of every sort,",231
Act I,Scene I,Marcus Andronicus,"Patricians and plebeians, we create",232
Act I,Scene I,Marcus Andronicus,"Lord Saturninus Rome's great emperor,",233
Act I,Scene I,Marcus Andronicus,And say 'Long live our Emperor Saturnine!',234
Act I,Scene I,[stage direction],A long flourish till they come down,NA
Act I,Scene I,Saturninus,"Titus Andronicus, for thy favors done",235
Act I,Scene I,Saturninus,"To us in our election this day,",236
Act I,Scene I,Saturninus,"I give thee thanks in part of thy deserts,",237
Act I,Scene I,Saturninus,And will with deeds requite thy gentleness:,238
Act I,Scene I,Saturninus,"And, for an onset, Titus, to advance",239
Act I,Scene I,Saturninus,"Thy name and honourable family,",240
Act I,Scene I,Saturninus,"Lavinia will I make my empress,",241
Act I,Scene I,Saturninus,"Rome's royal mistress, mistress of my heart,",242
Act I,Scene I,Saturninus,And in the sacred Pantheon her espouse:,243
Act I,Scene I,Saturninus,"Tell me, Andronicus, doth this motion please thee?",244
Act I,Scene I,Titus Andronicus,"It doth, my worthy lord; and in this match",245
Act I,Scene I,Titus Andronicus,I hold me highly honour'd of your grace:,246
Act I,Scene I,Titus Andronicus,"And here in sight of Rome to Saturnine,",247
Act I,Scene I,Titus Andronicus,"King and commander of our commonweal,",248
Act I,Scene I,Titus Andronicus,"The wide world's emperor, do I consecrate",249
Act I,Scene I,Titus Andronicus,"My sword, my chariot and my prisoners;",250
Act I,Scene I,Titus Andronicus,Presents well worthy Rome's imperial lord:,251
Act I,Scene I,Titus Andronicus,"Receive them then, the tribute that I owe,",252
Act I,Scene I,Titus Andronicus,Mine honour's ensigns humbled at thy feet.,253
Act I,Scene I,Saturninus,"Thanks, noble Titus, father of my life!",254
Act I,Scene I,Saturninus,How proud I am of thee and of thy gifts,255
Act I,Scene I,Saturninus,"Rome shall record, and when I do forget",256
Act I,Scene I,Saturninus,"The least of these unspeakable deserts,",257
Act I,Scene I,Saturninus,"Romans, forget your fealty to me.",258
Act I,Scene I,Titus Andronicus,"[To TAMORA]  Now, madam, are you prisoner to",259
Act I,Scene I,Titus Andronicus,an emperor;,260
Act I,Scene I,Titus Andronicus,"To him that, for your honour and your state,",261
Act I,Scene I,Titus Andronicus,Will use you nobly and your followers.,262
Act I,Scene I,Saturninus,"A goodly lady, trust me; of the hue",263
Act I,Scene I,Saturninus,"That I would choose, were I to choose anew.",264
Act I,Scene I,Saturninus,"Clear up, fair queen, that cloudy countenance:",265
Act I,Scene I,Saturninus,"Though chance of war hath wrought this change of cheer,",266
Act I,Scene I,Saturninus,Thou comest not to be made a scorn in Rome:,267
Act I,Scene I,Saturninus,Princely shall be thy usage every way.,268
Act I,Scene I,Saturninus,"Rest on my word, and let not discontent",269
Act I,Scene I,Saturninus,"Daunt all your hopes: madam, he comforts you",270
Act I,Scene I,Saturninus,Can make you greater than the Queen of Goths.,271
Act I,Scene I,Saturninus,"Lavinia, you are not displeased with this?",272
Act I,Scene I,Lavinia,"Not I, my lord; sith true nobility",273
Act I,Scene I,Lavinia,Warrants these words in princely courtesy.,274
Act I,Scene I,Saturninus,"Thanks, sweet Lavinia. Romans, let us go;",275
Act I,Scene I,Saturninus,Ransomless here we set our prisoners free:,276
Act I,Scene I,Saturninus,"Proclaim our honours, lords, with trump and drum.",277
Act I,Scene I,[stage direction],Flourish. SATURNINUS courts TAMORA in dumb show,NA
Act I,Scene I,Bassianus,"Lord Titus, by your leave, this maid is mine.",278
Act I,Scene I,[stage direction],Seizing LAVINIA,NA
Act I,Scene I,Titus Andronicus,"How, sir! are you in earnest then, my lord?",279
Act I,Scene I,Bassianus,"Ay, noble Titus; and resolved withal",280
Act I,Scene I,Bassianus,To do myself this reason and this right.,281
Act I,Scene I,Marcus Andronicus,'Suum cuique' is our Roman justice:,282
Act I,Scene I,Marcus Andronicus,This prince in justice seizeth but his own.,283
Act I,Scene I,Lucius,"And that he will, and shall, if Lucius live.",284
Act I,Scene I,Titus Andronicus,"Traitors, avaunt! Where is the emperor's guard?",285
Act I,Scene I,Titus Andronicus,"Treason, my lord! Lavinia is surprised!",286
Act I,Scene I,Saturninus,Surprised! by whom?,287
Act I,Scene I,Bassianus,By him that justly may,288
Act I,Scene I,Bassianus,Bear his betroth'd from all the world away.,289
Act I,Scene I,[stage direction],Exeunt BASSIANUS and MARCUS with LAVINIA,NA
Act I,Scene I,Mutius,"Brothers, help to convey her hence away,",290
Act I,Scene I,Mutius,And with my sword I'll keep this door safe.,291
Act I,Scene I,[stage direction],"Exeunt LUCIUS, QUINTUS, and MARTIUS",NA
Act I,Scene I,Titus Andronicus,"Follow, my lord, and I'll soon bring her back.",292
Act I,Scene I,Mutius,"My lord, you pass not here.",293
Act I,Scene I,Titus Andronicus,"What, villain boy!",294
Act I,Scene I,Titus Andronicus,Barr'st me my way in Rome?,295
Act I,Scene I,[stage direction],Stabbing MUTIUS,NA
Act I,Scene I,Mutius,"Help, Lucius, help!",296
Act I,Scene I,[stage direction],Dies,NA
Act I,Scene I,[stage direction],"During the fray, SATURNINUS, TAMORA, DEMETRIUS, CHIRON and AARON go out and re-enter, above",NA
Act I,Scene I,[stage direction],Re-enter LUCIUS,NA
Act I,Scene I,Lucius,"My lord, you are unjust, and, more than so,",297
Act I,Scene I,Lucius,In wrongful quarrel you have slain your son.,298
Act I,Scene I,Titus Andronicus,"Nor thou, nor he, are any sons of mine;",299
Act I,Scene I,Titus Andronicus,My sons would never so dishonour me:,300
Act I,Scene I,Titus Andronicus,"Traitor, restore Lavinia to the emperor.",301
Act I,Scene I,Lucius,"Dead, if you will; but not to be his wife,",302
Act I,Scene I,Lucius,That is another's lawful promised love.,303
Act I,Scene I,[stage direction],Exit,NA
Act I,Scene I,Saturninus,"No, Titus, no; the emperor needs her not,",304
Act I,Scene I,Saturninus,"Nor her, nor thee, nor any of thy stock:",305
Act I,Scene I,Saturninus,"I'll trust, by leisure, him that mocks me once;",306
Act I,Scene I,Saturninus,"Thee never, nor thy traitorous haughty sons,",307
Act I,Scene I,Saturninus,Confederates all thus to dishonour me.,308
Act I,Scene I,Saturninus,"Was there none else in Rome to make a stale,",309
Act I,Scene I,Saturninus,"But Saturnine? Full well, Andronicus,",310
Act I,Scene I,Saturninus,"Agree these deeds with that proud brag of thine,",311
