Title,Genre,URL,File
LXXXIV. Who is it that says most? which can say more,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXXIV.html,sonnetLXXXIV
"LXXXV. My tongue-tied Muse in manners holds her still,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXXV.html,sonnetLXXXV
"LXXXVI. Was it the proud full sail of his great verse,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXXVI.html,sonnetLXXXVI
"LXXXVII. Farewell! thou art too dear for my possessing,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXXVII.html,sonnetLXXXVII
"LXXXVIII. When thou shalt be disposed to set me light,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXXVIII.html,sonnetLXXXVIII
"LXXXIX. Say that thou didst forsake me for some fault,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXXIX.html,sonnetLXXXIX
"XC. Then hate me when thou wilt; if ever, now;",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XC.html,sonnetXC
"XCI. Some glory in their birth, some in their skill,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XCI.html,sonnetXCI
"XCII. But do thy worst to steal thyself away,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XCII.html,sonnetXCII
"XCIII. So shall I live, supposing thou art true,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XCIII.html,sonnetXCIII
"XCIV. They that have power to hurt and will do none,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XCIV.html,sonnetXCIV
XCV. How sweet and lovely dost thou make the shame,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XCV.html,sonnetXCV
"XCVI. Some say thy fault is youth, some wantonness;",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XCVI.html,sonnetXCVI
XCVII. How like a winter hath my absence been,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XCVII.html,sonnetXCVII
"XCVIII. From you have I been absent in the spring,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XCVIII.html,sonnetXCVIII
XCIX. The forward violet thus did I chide:,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XCIX.html,sonnetXCIX
"C. Where art thou, Muse, that thou forget'st so long",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.C.html,sonnetC
"CI. O truant Muse, what shall be thy amends",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CI.html,sonnetCI
"CII. My love is strengthen'd, though more weak in seeming;",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CII.html,sonnetCII
"CIII. Alack, what poverty my Muse brings forth,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CIII.html,sonnetCIII
"CIV. To me, fair friend, you never can be old,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CIV.html,sonnetCIV
"CV. Let not my love be call'd idolatry,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CV.html,sonnetCV
CVI. When in the chronicle of wasted time,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CVI.html,sonnetCVI
"CVII. Not mine own fears, nor the prophetic soul",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CVII.html,sonnetCVII
CVIII. What's in the brain that ink may character,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CVIII.html,sonnetCVIII
"CIX. O, never say that I was false of heart,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CIX.html,sonnetCIX
"CX. Alas, 'tis true I have gone here and there",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CX.html,sonnetCX
"CXI. O, for my sake do you with Fortune chide,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXI.html,sonnetCXI
CXII. Your love and pity doth the impression fill,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXII.html,sonnetCXII
"CXIII. Since I left you, mine eye is in my mind;",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXIII.html,sonnetCXIII
"CXIV. Or whether doth my mind, being crown'd with you,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXIV.html,sonnetCXIV
"CXV. Those lines that I before have writ do lie,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXV.html,sonnetCXV
CXVI. Let me not to the marriage of true minds,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXVI.html,sonnetCXVI
CXVII. Accuse me thus: that I have scanted all,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXVII.html,sonnetCXVII
"CXVIII. Like as, to make our appetites more keen,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXVIII.html,sonnetCXVIII
"CXIX. What potions have I drunk of Siren tears,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXIX.html,sonnetCXIX
"CXX. That you were once unkind befriends me now,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXX.html,sonnetCXX
"CXXI. 'Tis better to be vile than vile esteem'd,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXI.html,sonnetCXXI
"CXXII. Thy gift, thy tables, are within my brain",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXII.html,sonnetCXXII
"CXXIII. No, Time, thou shalt not boast that I do change:",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXIII.html,sonnetCXXIII
"CXXIV. If my dear love were but the child of state,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXIV.html,sonnetCXXIV
"CXXV. Were 't aught to me I bore the canopy,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXV.html,sonnetCXXV
"CXXVI. O thou, my lovely boy, who in thy power",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXVI.html,sonnetCXXVI
"CXXVII. In the old age black was not counted fair,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXVII.html,sonnetCXXVII
"CXXVIII. How oft, when thou, my music, music play'st,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXVIII.html,sonnetCXXVIII
CXXIX. The expense of spirit in a waste of shame,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXIX.html,sonnetCXXIX
CXXX. My mistress' eyes are nothing like the sun;,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXX.html,sonnetCXXX
"CXXXI. Thou art as tyrannous, so as thou art,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXXI.html,sonnetCXXXI
"CXXXII. Thine eyes I love, and they, as pitying me,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXXII.html,sonnetCXXXII
CXXXIII. Beshrew that heart that makes my heart to groan,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXXIII.html,sonnetCXXXIII
"CXXXIV. So, now I have confess'd that he is thine,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXXIV.html,sonnetCXXXIV
"CXXXV. Whoever hath her wish, thou hast thy 'Will,'",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXXV.html,sonnetCXXXV
"CXXXVI. If thy soul cheque thee that I come so near,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXXVI.html,sonnetCXXXVI
"CXXXVII. Thou blind fool, Love, what dost thou to mine eyes,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXXVII.html,sonnetCXXXVII
CXXXVIII. When my love swears that she is made of truth,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXXVIII.html,sonnetCXXXVIII
"CXXXIX. O, call not me to justify the wrong",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXXXIX.html,sonnetCXXXIX
CXL. Be wise as thou art cruel; do not press,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXL.html,sonnetCXL
"CXLI. In faith, I do not love thee with mine eyes,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXLI.html,sonnetCXLI
"CXLII. Love is my sin and thy dear virtue hate,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXLII.html,sonnetCXLII
CXLIII. Lo! as a careful housewife runs to catch,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXLIII.html,sonnetCXLIII
