act,scene,character,dialogue,line_number
Act II,Scene I,Lewis,"Richard, that robb'd the lion of his heart",281
Act II,Scene I,Lewis,"And fought the holy wars in Palestine,",282
Act II,Scene I,Lewis,By this brave duke came early to his grave:,283
Act II,Scene I,Lewis,"And for amends to his posterity,",284
Act II,Scene I,Lewis,"At our importance hither is he come,",285
Act II,Scene I,Lewis,"To spread his colours, boy, in thy behalf,",286
Act II,Scene I,Lewis,And to rebuke the usurpation,287
Act II,Scene I,Lewis,"Of thy unnatural uncle, English John:",288
Act II,Scene I,Lewis,"Embrace him, love him, give him welcome hither.",289
Act II,Scene I,Arthur,God shall forgive you Coeur-de-lion's death,290
Act II,Scene I,Arthur,"The rather that you give his offspring life,",291
Act II,Scene I,Arthur,Shadowing their right under your wings of war:,292
Act II,Scene I,Arthur,"I give you welcome with a powerless hand,",293
Act II,Scene I,Arthur,But with a heart full of unstained love:,294
Act II,Scene I,Arthur,"Welcome before the gates of Angiers, duke.",295
Act II,Scene I,Lewis,A noble boy! Who would not do thee right?,296
Act II,Scene I,Austria,"Upon thy cheek lay I this zealous kiss,",297
Act II,Scene I,Austria,"As seal to this indenture of my love,",298
Act II,Scene I,Austria,"That to my home I will no more return,",299
Act II,Scene I,Austria,"Till Angiers and the right thou hast in France,",300
Act II,Scene I,Austria,"Together with that pale, that white-faced shore,",301
Act II,Scene I,Austria,Whose foot spurns back the ocean's roaring tides,302
Act II,Scene I,Austria,"And coops from other lands her islanders,",303
Act II,Scene I,Austria,"Even till that England, hedged in with the main,",304
Act II,Scene I,Austria,"That water-walled bulwark, still secure",305
Act II,Scene I,Austria,"And confident from foreign purposes,",306
Act II,Scene I,Austria,Even till that utmost corner of the west,307
Act II,Scene I,Austria,"Salute thee for her king: till then, fair boy,",308
Act II,Scene I,Austria,"Will I not think of home, but follow arms.",309
Act II,Scene I,Constance,"O, take his mother's thanks, a widow's thanks,",310
Act II,Scene I,Constance,Till your strong hand shall help to give him strength,311
Act II,Scene I,Constance,To make a more requital to your love!,312
Act II,Scene I,Austria,The peace of heaven is theirs that lift their swords,313
Act II,Scene I,Austria,In such a just and charitable war.,314
Act II,Scene I,King Philip,"Well then, to work: our cannon shall be bent",315
Act II,Scene I,King Philip,Against the brows of this resisting town.,316
Act II,Scene I,King Philip,"Call for our chiefest men of discipline,",317
Act II,Scene I,King Philip,To cull the plots of best advantages:,318
Act II,Scene I,King Philip,"We'll lay before this town our royal bones,",319
Act II,Scene I,King Philip,"Wade to the market-place in Frenchmen's blood,",320
Act II,Scene I,King Philip,But we will make it subject to this boy.,321
Act II,Scene I,Constance,"Stay for an answer to your embassy,",322
Act II,Scene I,Constance,Lest unadvised you stain your swords with blood:,323
Act II,Scene I,Constance,"My Lord Chatillon may from England bring,",324
Act II,Scene I,Constance,"That right in peace which here we urge in war,",325
Act II,Scene I,Constance,And then we shall repent each drop of blood,326
Act II,Scene I,Constance,That hot rash haste so indirectly shed.,327
Act II,Scene I,[stage direction],Enter CHATILLON,NA
Act II,Scene I,King Philip,"A wonder, lady! lo, upon thy wish,",328
Act II,Scene I,King Philip,Our messenger Chatillon is arrived!,329
Act II,Scene I,King Philip,"What England says, say briefly, gentle lord;",330
Act II,Scene I,King Philip,"We coldly pause for thee; Chatillon, speak.",331
Act II,Scene I,Chatillon,Then turn your forces from this paltry siege,332
Act II,Scene I,Chatillon,And stir them up against a mightier task.,333
Act II,Scene I,Chatillon,"England, impatient of your just demands,",334
Act II,Scene I,Chatillon,"Hath put himself in arms: the adverse winds,",335
Act II,Scene I,Chatillon,"Whose leisure I have stay'd, have given him time",336
Act II,Scene I,Chatillon,To land his legions all as soon as I;,337
Act II,Scene I,Chatillon,"His marches are expedient to this town,",338
Act II,Scene I,Chatillon,"His forces strong, his soldiers confident.",339
Act II,Scene I,Chatillon,"With him along is come the mother-queen,",340
Act II,Scene I,Chatillon,"An Ate, stirring him to blood and strife;",341
Act II,Scene I,Chatillon,"With her her niece, the Lady Blanch of Spain;",342
Act II,Scene I,Chatillon,"With them a bastard of the king's deceased,",343
Act II,Scene I,Chatillon,"And all the unsettled humours of the land,",344
Act II,Scene I,Chatillon,"Rash, inconsiderate, fiery voluntaries,",345
Act II,Scene I,Chatillon,"With ladies' faces and fierce dragons' spleens,",346
Act II,Scene I,Chatillon,"Have sold their fortunes at their native homes,",347
Act II,Scene I,Chatillon,"Bearing their birthrights proudly on their backs,",348
Act II,Scene I,Chatillon,To make hazard of new fortunes here:,349
